category,flow_id,src_ip,dst_ip,time_s,rtt_ms,method
HTTPS / Remote (Port 443),192.168.29.15:61487->20.207.73.82:443,192.168.29.15,20.207.73.82,1775289074.1942,13.4642,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61487,20.207.73.82,192.168.29.15,1775289074.1988,1.9262,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61487,20.207.73.82,192.168.29.15,1775289074.199,0.2091,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61487,20.207.73.82,192.168.29.15,1775289074.2,0.1001,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61487,20.207.73.82,192.168.29.15,1775289074.3689,5.2459,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61487,20.207.73.82,192.168.29.15,1775289074.3691,2.7041,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61487,20.207.73.82,192.168.29.15,1775289074.3693,0.6821,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61487,20.207.73.82,192.168.29.15,1775289074.3853,0.7801,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61487,20.207.73.82,192.168.29.15,1775289074.3855,0.5672,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61487,20.207.73.82,192.168.29.15,1775289074.3907,3.7928,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61487,20.207.73.82,192.168.29.15,1775289074.3908,6.3889,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61487,20.207.73.82,192.168.29.15,1775289074.3909,3.6421,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61487,20.207.73.82,192.168.29.15,1775289074.391,2.25,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61487,20.207.73.82,192.168.29.15,1775289074.3911,1.37,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61487,20.207.73.82,192.168.29.15,1775289074.3912,0.608,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61487,20.207.73.82,192.168.29.15,1775289074.3958,2.846,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61487,20.207.73.82,192.168.29.15,1775289074.3959,1.6181,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61487,20.207.73.82,192.168.29.15,1775289074.396,0.298,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61487,20.207.73.82,192.168.29.15,1775289074.3996,1.967,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61487,20.207.73.82,192.168.29.15,1775289074.3997,0.7091,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61487,20.207.73.82,192.168.29.15,1775289074.3998,0.3099,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61487,20.207.73.82,192.168.29.15,1775289074.4044,2.888,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61487,20.207.73.82,192.168.29.15,1775289074.4045,1.6291,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61487,20.207.73.82,192.168.29.15,1775289074.4046,0.499,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61487,20.207.73.82,192.168.29.15,1775289074.4048,0.4108,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61487,20.207.73.82,192.168.29.15,1775289074.4083,2.1093,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61487,20.207.73.82,192.168.29.15,1775289074.4084,0.767,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61487,20.207.73.82,192.168.29.15,1775289074.4085,0.3052,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61487,20.207.73.82,192.168.29.15,1775289074.4089,0.1037,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61487,20.207.73.82,192.168.29.15,1775289074.4136,0.1149,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61487,20.207.73.82,192.168.29.15,1775289074.4162,0.103,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61487,20.207.73.82,192.168.29.15,1775289074.4168,0.103,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61487,20.207.73.82,192.168.29.15,1775289074.4214,0.1121,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61487,20.207.73.82,192.168.29.15,1775289074.4243,0.1018,DATA-ACK
HTTPS / Remote (Port 443),192.168.29.15:61487->20.207.73.82:443,192.168.29.15,20.207.73.82,1775289074.4248,0.2971,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61517,20.207.73.82,192.168.29.15,1775289077.9334,7.2589,SYN-SYNACK
HTTPS / Remote (Port 443),192.168.29.15:61517->20.207.73.82:443,192.168.29.15,20.207.73.82,1775289078.0256,91.6731,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61517,20.207.73.82,192.168.29.15,1775289078.0268,0.3779,DATA-ACK
HTTPS / Remote (Port 443),192.168.29.15:61517->20.207.73.82:443,192.168.29.15,20.207.73.82,1775289078.0361,6.9749,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61517,20.207.73.82,192.168.29.15,1775289078.0369,0.2189,DATA-ACK
HTTPS / Remote (Port 443),192.168.29.15:61517->20.207.73.82:443,192.168.29.15,20.207.73.82,1775289078.0376,7.8897,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61517,20.207.73.82,192.168.29.15,1775289078.038,0.232,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61517,20.207.73.82,192.168.29.15,1775289078.0443,0.3462,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61517,20.207.73.82,192.168.29.15,1775289078.0489,0.2382,DATA-ACK
HTTPS / Remote (Port 443),192.168.29.15:61517->20.207.73.82:443,192.168.29.15,20.207.73.82,1775289078.0548,16.5091,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61517,20.207.73.82,192.168.29.15,1775289078.0614,4.0371,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61517,20.207.73.82,192.168.29.15,1775289078.0615,1.375,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61517,20.207.73.82,192.168.29.15,1775289078.0618,0.6332,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61517,20.207.73.82,192.168.29.15,1775289078.0745,9.388,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61517,20.207.73.82,192.168.29.15,1775289078.0746,6.6662,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61517,20.207.73.82,192.168.29.15,1775289078.0747,4.3118,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61517,20.207.73.82,192.168.29.15,1775289078.0748,1.7998,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61517,20.207.73.82,192.168.29.15,1775289078.0749,0.5147,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61517,20.207.73.82,192.168.29.15,1775289078.0796,3.0737,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61517,20.207.73.82,192.168.29.15,1775289078.0797,1.765,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61517,20.207.73.82,192.168.29.15,1775289078.0798,0.416,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61517,20.207.73.82,192.168.29.15,1775289078.0845,0.1149,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61517,20.207.73.82,192.168.29.15,1775289078.0878,0.1197,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61517,20.207.73.82,192.168.29.15,1775289078.0921,2.7869,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61517,20.207.73.82,192.168.29.15,1775289078.0966,0.1049,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61517,20.207.73.82,192.168.29.15,1775289078.1015,0.119,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61517,20.207.73.82,192.168.29.15,1775289078.1026,0.1009,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61517,20.207.73.82,192.168.29.15,1775289078.1075,1.9631,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61517,20.207.73.82,192.168.29.15,1775289078.1076,0.2129,DATA-ACK
HTTPS / Remote (Port 443),192.168.29.15:61517->20.207.73.82:443,192.168.29.15,20.207.73.82,1775289078.108,0.268,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61535,20.207.73.82,192.168.29.15,1775289081.7171,6.6917,SYN-SYNACK
HTTPS / Remote (Port 443),192.168.29.15:61535->20.207.73.82:443,192.168.29.15,20.207.73.82,1775289081.7272,9.5482,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61535,20.207.73.82,192.168.29.15,1775289081.7279,0.2241,DATA-ACK
HTTPS / Remote (Port 443),192.168.29.15:61535->20.207.73.82:443,192.168.29.15,20.207.73.82,1775289081.7383,7.3481,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61535,20.207.73.82,192.168.29.15,1775289081.739,0.2191,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61535,20.207.73.82,192.168.29.15,1775289081.7471,0.8411,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61535,20.207.73.82,192.168.29.15,1775289081.7503,0.2439,DATA-ACK
HTTPS / Remote (Port 443),192.168.29.15:61535->20.207.73.82:443,192.168.29.15,20.207.73.82,1775289081.7563,17.0269,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61535,20.207.73.82,192.168.29.15,1775289081.7628,4.014,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61535,20.207.73.82,192.168.29.15,1775289081.763,1.524,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61535,20.207.73.82,192.168.29.15,1775289081.7632,0.5877,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61535,20.207.73.82,192.168.29.15,1775289081.7748,7.4339,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61535,20.207.73.82,192.168.29.15,1775289081.7749,4.8599,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61535,20.207.73.82,192.168.29.15,1775289081.7751,2.9392,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61535,20.207.73.82,192.168.29.15,1775289081.7752,1.677,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61535,20.207.73.82,192.168.29.15,1775289081.7753,0.6568,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61535,20.207.73.82,192.168.29.15,1775289081.7778,0.725,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61535,20.207.73.82,192.168.29.15,1775289081.7779,0.2062,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61535,20.207.73.82,192.168.29.15,1775289081.7822,2.764,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61535,20.207.73.82,192.168.29.15,1775289081.7823,1.5271,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61535,20.207.73.82,192.168.29.15,1775289081.7825,0.3831,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61535,20.207.73.82,192.168.29.15,1775289081.7866,0.103,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61535,20.207.73.82,192.168.29.15,1775289081.7889,0.1118,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61535,20.207.73.82,192.168.29.15,1775289081.7932,2.7981,DATA-ACK
